X_Value,Y1_Value,Y2_Value,Y3_Value
280,-187.8940794,74853.53318,74665.6391
281,-187.8254685,74857.59311,74669.76764
282,-187.7268435,74861.76306,74674.03622
283,-187.5971211,74866.02794,74678.43082
284,-187.4352176,74870.37268,74682.93746
285,-187.2400497,74874.78218,74687.54213
286,-187.0105337,74879.24136,74692.23083
287,-186.7455862,74883.73514,74696.98955
288,-186.4441236,74888.24842,74701.8043
289,-186.1050624,74892.76612,74706.66106
290,-185.7273192,74897.27315,74711.54583
291,-185.3098104,74901.75444,74716.44463
292,-184.8514525,74906.19488,74721.34343
293,-184.351162,74910.57941,74726.22825
294,-183.8078553,74914.89292,74731.08506
295,-183.220449,74919.12034,74735.89989
296,-182.5878596,74923.24657,74740.65871
297,-181.9090034,74927.25654,74745.34754
298,-181.1827972,74931.13515,74749.95235
299,-180.4081572,74934.86733,74754.45917
300,-179.584,74938.43797,74758.85397
301,-178.7092421,74941.83201,74763.12277
302,-177.7836614,74945.03754,74767.25388
303,-176.8104814,74948.05545,74771.24497
304,-175.793787,74950.88984,74775.09605
305,-174.7376631,74953.54478,74778.80712
306,-173.6461946,74956.02435,74782.37816
307,-172.5234664,74958.33265,74785.80918
308,-171.3735635,74960.47374,74789.10018
309,-170.2005707,74962.45173,74792.25116
310,-169.0085729,74964.27069,74795.26212
311,-167.8016552,74965.9347,74798.13304
312,-166.5839023,74967.44786,74800.86396
313,-165.3593992,74968.81423,74803.45483
314,-164.1322308,74970.03791,74805.90568
315,-162.906482,74971.12299,74808.21651
316,-161.6862378,74972.07353,74810.38729
317,-160.4755829,74972.89364,74812.41806
318,-159.2786024,74973.58738,74814.30878
319,-158.0993812,74974.15886,74816.05948
320,-156.9420041,74974.61214,74817.67014
321,-155.8105561,74974.95131,74819.14075
322,-154.709122,74975.18046,74820.47134
323,-153.6417869,74975.30367,74821.66188
324,-152.6126355,74975.32503,74822.71239
325,-151.6257529,74975.24861,74823.62286
326,-150.6852239,74975.07851,74824.39329
327,-149.7951334,74974.8188,74825.02367
328,-148.9595664,74974.47357,74825.514
329,-148.1826077,74974.0469,74825.86429
330,-147.4683422,74973.54288,74826.07454
331,-146.820855,74972.96559,74826.14474
332,-146.2442308,74972.31911,74826.07488
333,-145.7425546,74971.60753,74825.86498
334,-145.3199114,74970.83494,74825.51503
335,-144.9803859,74970.00541,74825.02502
336,-144.7280632,74969.12303,74824.39497
337,-144.5670281,74968.19188,74823.62485
338,-144.5013655,74967.21605,74822.71468
339,-144.5351604,74966.19961,74821.66445
340,-144.6724976,74965.14667,74820.47417
341,-144.9174622,74964.06129,74819.14383
342,-145.2741389,74962.94756,74817.67342
343,-145.7466127,74961.80957,74816.06296
344,-146.3389685,74960.6514,74814.31243
345,-147.0552912,74959.47713,74812.42184
346,-147.8996658,74958.29085,74810.39118
347,-148.8761771,74957.09664,74808.22046
348,-149.98891,74955.89858,74805.90967
349,-151.2419495,74954.70076,74803.45881
350,-152.6393805,74953.50727,74800.86789
351,-154.1852878,74952.32218,74798.13689
352,-155.8837564,74951.14958,74795.26582
353,-157.7388712,74949.99355,74792.25468
354,-159.7547172,74948.85818,74789.10346
355,-161.9353791,74947.74755,74785.81217
356,-164.284942,74946.66574,74782.3808
357,-166.8074907,74945.61684,74778.80935
358,-169.5071102,74944.60494,74775.09783
359,-172.3878853,74943.6341,74771.24621
360,-175.453901,74942.70843,74767.25453
361,-178.7092421,74941.83201,74763.12277
362,-182.1547702,74941.00802,74758.85325
363,-185.7784525,74940.23611,74754.45766
364,-189.5650329,74939.51502,74749.94999
365,-193.4992554,74938.84352,74745.34426
366,-197.5658637,74938.22035,74740.65449
367,-201.7496017,74937.64426,74735.89466
368,-206.0352134,74937.11401,74731.0788
369,-210.4074426,74936.62834,74726.2209
370,-214.8510331,74936.186,74721.33497
371,-219.3507289,74935.78575,74716.43502
372,-223.8912737,74935.42634,74711.53507
373,-228.4574116,74935.10652,74706.64911
374,-233.0338862,74934.82504,74701.79115
375,-237.6054416,74934.58064,74696.9752
376,-242.1568216,74934.37209,74692.21527
377,-246.6727701,74934.19814,74687.52537
378,-251.1380308,74934.05752,74682.91949
379,-255.5373478,74933.94901,74678.41166
380,-259.8554648,74933.87133,74674.01587
381,-264.0771258,74933.82326,74669.74613
382,-268.1870746,74933.80353,74665.61646
383,-272.1700551,74933.8109,74661.64084
384,-276.0108112,74933.84412,74657.83331
