X_Value,Y_Value
600,89021.45632
601,89360.30125
602,89704.18809
603,90052.81104
604,90405.79646
605,90762.77073
606,91123.36022
607,91487.19129
608,91853.89031
609,92223.08366
610,92594.39769
611,92967.45879
612,93341.89331
613,93717.32764
614,94093.38813
615,94469.70116
616,94845.89309
617,95221.5903
618,95596.41915
619,95970.00602
620,96341.97727
621,96711.95926
622,97079.57838
623,97444.46099
624,97806.23345
625,98164.52215
626,98518.95344
627,98869.15369
628,99214.74928
629,99555.36657
630,99890.63194
631,100220.1717
632,100543.6124
633,100860.5802
634,101170.7015
635,101473.6028
636,101768.9103
637,102056.2505
638,102335.2498
639,102605.5344
640,102866.7308
641,103118.4653
642,103360.3643
643,103592.0542
644,103813.1613
645,104023.3121
646,104222.1328
647,104409.2499
648,104584.2897
649,104746.8785
650,104896.6428
651,105033.209
652,105156.2033
653,105265.2522
654,105359.9821
655,105440.0192
656,105504.99
657,105554.5208
658,105588.2381
659,105605.7681
660,105606.7372
661,105590.7719
662,105557.6631
663,105507.8605
664,105441.9785
665,105360.6312
666,105264.4332
667,105153.9986
668,105029.9417
669,104892.877
670,104743.4187
671,104582.1812
672,104409.7787
673,104226.8256
674,104033.9362
675,103831.7248
676,103620.8057
677,103401.7933
678,103175.3018
679,102941.9457
680,102702.3391
681,102457.0965
682,102206.832
683,101952.1602
684,101693.6952
685,101432.0514
686,101167.8431
687,100901.6846
688,100634.1903
689,100365.9745
690,100097.6514
691,99829.83539
692,99563.14081
693,99298.18197
694,99035.57318
695,98775.92875
696,98519.86301
697,98267.99027
698,98020.92485
699,97779.28106
700,97543.67323
701,97314.71568
702,97093.02271
703,96879.20866
704,96673.88782
705,96477.67454
706,96291.18311
707,96115.02786
708,95949.82311
709,95796.18318
710,95654.72237
711,95526.05502
712,95410.79543
713,95309.55793
714,95222.95683
715,95151.60645
716,95096.12111
717,95057.11513
718,95035.20282
719,95030.9985
720,95045.11649
721,95078.1711
722,95130.55878
723,95201.80442
724,95291.21503
725,95398.09764
726,95521.75926
727,95661.5069
728,95816.64759
729,95986.48834
730,96170.33616
731,96367.49807
732,96577.2811
733,96798.99224
734,97031.93853
735,97275.42697
736,97528.76459
737,97791.2584
738,98062.21541
739,98340.94265
740,98626.74713
741,98918.93586
742,99216.81587
743,99519.69416
744,99826.87776
745,100137.6737
746,100451.3889
747,100767.3305
748,101084.8055
749,101403.1209
750,101721.5837
751,102039.5008
752,102356.1795
753,102670.9265
754,102983.0491
755,103291.8541
756,103596.6487
757,103896.7397
758,104191.4343
759,104480.0394
760,104761.8621
761,105036.2094
762,105302.3883
763,105559.7058
764,105807.4689
765,106044.9847
766,106271.5601
767,106486.5023
768,106689.1181
769,106878.7146
770,107054.5989
771,107216.0779
772,107362.4587
773,107493.0483
774,107607.1536
775,107704.0818
776,107783.1398
777,107843.6346
778,107884.8733
779,107906.1629
780,107906.8104
781,107886.1228
782,107843.6091
783,107779.5862
784,107694.573
785,107589.0884
786,107463.6513
787,107318.7806
788,107154.9951
789,106972.8138
790,106772.7556
791,106555.3392
792,106321.0837
793,106070.508
794,105804.1308
795,105522.4711
796,105226.0478
797,104915.3798
798,104590.9859
799,104253.3851
800,103903.0962
801,103540.6382
802,103166.5299
803,102781.2902
804,102385.438
805,101979.4922
806,101563.9716
807,101139.3953
808,100706.282
809,100265.1507
810,99816.52015
811,99360.90938
812,98898.83723
813,98430.82259
814,97957.38434
815,97479.04139
816,96996.31262
817,96509.71691
818,96019.77316
819,95527.00027
820,95031.91711
821,94535.04257
822,94036.89556
823,93537.99495
824,93038.85964
825,92540.00852
826,92041.96047
827,91545.23439
828,91050.34917
829,90557.82369
830,90068.17685
831,89581.92753
832,89099.59463
833,88621.69704
834,88148.75364
835,87681.28332
836,87219.80498
837,86764.8375
838,86316.89978
839,85876.5107
840,85444.18915
841,85020.45403
842,84605.72131
843,84199.99534
844,83803.17757
845,83415.16943
846,83035.87236
847,82665.18781
848,82303.01721
849,81949.262
850,81603.82362
851,81266.60352
852,80937.50313
853,80616.4239
854,80303.26725
855,79997.93464
856,79700.32751
857,79410.34728
858,79127.89541
859,78852.87334
860,78585.18249
861,78324.72432
862,78071.40026
863,77825.11176
864,77585.76025
865,77353.24717
866,77127.47397
867,76908.34208
868,76695.75294
869,76489.60799
870,76289.80868
871,76096.25645
872,75908.85272
873,75727.49895
874,75552.09657
875,75382.54703
876,75218.75176
877,75060.6122
878,74908.0298
879,74760.90599
880,74619.14221
881,74482.63991
882,74351.30052
883,74225.02548
884,74103.71624
885,73987.27423
886,73875.60089
887,73768.59767
888,73666.166
889,73568.20733
890,73474.62309
891,73385.31472
892,73300.18366
893,73219.13136
894,73142.05926
895,73068.86878
896,72999.46139
897,72933.7385
898,72871.60157
899,72812.95203
900,72757.69133
901,72705.7209
902,72656.94772
903,72611.30097
904,72568.71535
905,72529.12555
906,72492.4663
907,72458.6723
908,72427.67825
909,72399.41886
910,72373.82883
911,72350.84288
912,72330.3957
913,72312.42202
914,72296.85652
915,72283.63393
916,72272.68894
917,72263.95626
918,72257.3706
919,72252.86667
920,72250.37917
921,72249.84281
922,72251.19229
923,72254.36232
924,72259.28762
925,72265.90287
926,72274.1428
927,72283.94211
928,72295.2355
929,72307.95768
930,72322.04336
931,72337.42725
932,72354.04404
933,72371.82845
934,72390.71519
935,72410.63896
936,72431.53446
937,72453.33641
938,72475.97951
939,72499.39846
940,72523.52798
941,72548.30276
942,72573.65753
943,72599.52698
944,72625.84581
945,72652.54875
946,72679.57048
947,72706.84573
948,72734.30919
949,72761.89557
950,72789.53958
951,72817.17593
952,72844.73932
953,72872.16446
954,72899.38605
955,72926.33881
956,72952.95743
957,72979.17663
958,73004.93111
959,73030.15558
960,73054.78474
961,73078.7533
962,73102.00462
963,73124.51661
964,73146.27586
965,73167.26893
966,73187.4824
967,73206.90283
968,73225.5168
969,73243.31088
970,73260.27164
971,73276.38565
972,73291.63949
973,73306.01973
974,73319.51294
975,73332.10569
976,73343.78455
977,73354.53609
978,73364.34689
979,73373.20352
980,73381.09255
981,73388.00055
982,73393.91409
983,73398.81975
984,73402.70409
985,73405.55369
986,73407.35513
987,73408.09496
988,73407.75977
989,73406.33612
990,73403.81059
991,73400.16975
992,73395.40017
993,73389.48843
994,73382.42109
995,73374.18472
996,73364.7659
997,73354.1512
998,73342.32719
999,73329.28045
1000,73314.99754
