X_Value,Y1_Value,Base,Variation,Y4_Value,Y3_Value,Y2_Value
136,760565.9325,534551.1875,-99888.65625,434662.5313,73179.92137,-400000
137,760708.4463,534551.1875,-99803.34375,434747.8438,73136.54742,-400000
138,760836.9961,534551.1875,-99724.96875,434826.2188,73099.75484,-400000
139,760952.0416,534551.1875,-99653.28125,434897.9063,73069.33356,-400000
140,761054.0423,534551.1875,-99587.9375,434963.25,73045.07355,-400000
141,761143.5514,534551.1875,-99528.71875,435022.4688,73026.76477,-400000
142,761220.9972,534551.1875,-99475.34375,435075.8438,73014.19718,-400000
143,761286.8706,534551.1875,-99427.53125,435123.6563,73007.16072,-400000
144,761341.6622,534551.1875,-99385,435166.1875,73005.44536,-400000
145,761385.8628,534551.1875,-99347.46875,435203.7188,73008.84106,-400000
146,761419.9632,534551.1875,-99314.6875,435236.5,73017.13776,-400000
147,761444.4229,534551.1875,-99286.375,435264.8125,73030.12543,-400000
148,761459.7327,534551.1875,-99262.25,435288.9375,73047.59403,-400000
149,761466.3834,534551.1875,-99242.03125,435309.1563,73069.3335,-400000
150,761464.8657,534551.1875,-99225.46875,435325.7188,73095.13382,-400000
151,761455.6392,534551.1875,-99212.28125,435338.9063,73124.78492,-400000
152,761439.1945,534551.1875,-99202.1875,435349,73158.07679,-400000
153,761416.0226,534551.1875,-99194.90625,435356.2813,73194.79935,-400000
154,761386.6141,534551.1875,-99190.15625,435361.0313,73234.74258,-400000
155,761351.4599,534551.1875,-99187.6875,435363.5,73277.69643,-400000
156,761311.0194,534551.1875,-99187.21875,435363.9688,73323.45086,-400000
157,761265.7834,534551.1875,-99188.5,435362.6875,73371.79582,-400000
158,761216.2115,534551.1875,-99191.1875,435360,73422.52127,-400000
159,761162.8569,534551.1875,-99195.0625,435356.125,73475.41718,-400000
160,761106.1479,534551.1875,-99199.875,435351.3125,73530.27349,-400000
161,761046.544,534551.1875,-99205.28125,435345.9063,73586.88015,-400000
162,760984.5984,534551.1875,-99211.03125,435340.1563,73645.02714,-400000
163,760920.7708,534551.1875,-99216.875,435334.3125,73704.5044,-400000
164,760855.5205,534551.1875,-99222.53125,435328.6563,73765.10189,-400000
165,760789.3385,534551.1875,-99227.6875,435323.5,73826.60958,-400000
166,760722.7466,534551.1875,-99232.125,435319.0625,73888.8174,-400000
167,760656.1733,534551.1875,-99235.5625,435315.625,73951.51533,-400000
168,760590.1092,534551.1875,-99237.6875,435313.5,74014.49331,-400000
169,760525.0763,534551.1875,-99238.25,435312.9375,74077.54131,-400000
170,760461.5343,534551.1875,-99236.96875,435314.2188,74140.44929,-400000
171,760399.9738,534551.1875,-99233.5625,435317.625,74203.00719,-400000
172,760340.8856,534551.1875,-99227.78125,435323.4063,74265.00498,-400000
173,760284.7293,534551.1875,-99219.3125,435331.875,74326.2326,-400000
174,760232.0268,534551.1875,-99207.9375,435343.25,74386.48003,-400000
175,760183.2065,534551.1875,-99193.34375,435357.8438,74445.53722,-400000
176,760138.7903,534551.1875,-99175.28125,435375.9063,74503.19412,-400000
177,760099.2379,534551.1875,-99153.4375,435397.75,74559.24068,-400000
178,760065.0711,534551.1875,-99127.5625,435423.625,74613.46687,-400000
179,760036.7495,534551.1875,-99097.375,435453.8125,74665.66264,-400000
180,760014.764,534551.1875,-99062.625,435488.5625,74715.61795,-400000
181,759999.574,534551.1875,-99023,435528.1875,74763.12277,-400000
182,759991.7015,534551.1875,-98978.3125,435572.875,74808.01137,-400000
183,759991.4993,534551.1875,-98928.53125,435622.6563,74850.29544,-400000
184,759998.9871,534551.1875,-98873.75,435677.4375,74890.03098,-400000
185,760014.0153,534551.1875,-98813.96875,435737.2188,74927.27401,-400000
186,760036.5279,534551.1875,-98749.28125,435801.9063,74962.08054,-400000
187,760066.3754,534551.1875,-98679.71875,435871.4688,74994.50658,-400000
188,760103.4706,534551.1875,-98605.34375,435945.8438,75024.60814,-400000
189,760147.695,534551.1875,-98526.1875,436025,75052.44123,-400000
190,760198.9616,534551.1875,-98442.34375,436108.8438,75078.06187,-400000
191,760257.1207,534551.1875,-98353.8125,436197.375,75101.52607,-400000
192,760322.1163,534551.1875,-98260.6875,436290.5,75122.88983,-400000
193,760393.799,534551.1875,-98163,436388.1875,75142.20916,-400000
194,760472.0814,534551.1875,-98060.8125,436490.375,75159.54009,-400000
195,760556.8453,534551.1875,-97954.1875,436597,75174.93863,-400000
196,760647.9722,534551.1875,-97843.125,436708.0625,75188.46078,-400000
197,760745.4062,534551.1875,-97727.75,436823.4375,75200.16254,-400000
198,760848.9664,534551.1875,-97608.0625,436943.125,75210.09995,-400000
199,760958.597,534551.1875,-97484.125,437067.0625,75218.329,-400000
200,761074.1795,534551.1875,-97356,437195.1875,75224.90571,-400000
201,761195.5956,534551.1875,-97223.75,437327.4375,75229.88609,-400000
202,761322.7269,534551.1875,-97087.40625,437463.7813,75233.32616,-400000
203,761455.4861,534551.1875,-96947,437604.1875,75235.28191,-400000
204,761593.7862,534551.1875,-96802.625,437748.5625,75235.80938,-400000
205,761737.4775,534551.1875,-96654.34375,437896.8438,75234.96456,-400000
206,761886.4417,534551.1875,-96502.15625,438049.0313,75232.80347,-400000
207,762040.6227,534551.1875,-96346.125,438205.0625,75229.38211,-400000
208,762199.9023,534551.1875,-96186.34375,438364.8438,75224.75651,-400000
209,762364.1308,534551.1875,-96022.84375,438528.3438,75218.98267,-400000
210,762533.2211,534551.1875,-95855.65625,438695.5313,75212.1166,-400000
211,762707.0859,534551.1875,-95684.875,438866.3125,75204.21432,-400000
212,762885.5757,534551.1875,-95510.5,439040.6875,75195.33183,-400000
213,763068.6345,534551.1875,-95332.625,439218.5625,75185.52516,-400000
214,763256.1128,534551.1875,-95151.28125,439399.9063,75174.8503,-400000
215,763447.9234,534551.1875,-94966.5,439584.6875,75163.36327,-400000
216,763643.979,534551.1875,-94778.40625,439772.7813,75151.12009,-400000
