X_Value,Base,Z1_Value,Variation,Y_Value,Z_Value
216,534551.1875,-138510.2188,-94778.40625,439772.7813,396040.9687
217,534551.1875,-138512.5938,-94586.96875,439964.2188,396038.5937
218,534551.1875,-138513.5625,-94392.3125,440158.875,396037.625
219,534551.1875,-138513.2188,-94194.40625,440356.7813,396037.9687
220,534551.1875,-138511.625,-93993.40625,440557.7813,396039.5625
221,534551.1875,-138508.8594,-93789.25,440761.9375,396042.3281
222,534551.1875,-138504.9844,-93582.09375,440969.0938,396046.2031
223,534551.1875,-138500.0469,-93371.9375,441179.25,396051.1406
224,534551.1875,-138494.1563,-93158.8125,441392.375,396057.0312
225,534551.1875,-138487.3438,-92942.8125,441608.375,396063.8437
226,534551.1875,-138479.7031,-92723.96875,441827.2188,396071.4844
227,534551.1875,-138471.2813,-92502.34375,442048.8438,396079.9062
228,534551.1875,-138462.1719,-92278,442273.1875,396089.0156
229,534551.1875,-138452.4219,-92050.96875,442500.2188,396098.7656
230,534551.1875,-138442.125,-91821.28125,442729.9063,396109.0625
231,534551.1875,-138431.3125,-91589.0625,442962.125,396119.875
232,534551.1875,-138420.0938,-91354.28125,443196.9063,396131.0937
233,534551.1875,-138408.5,-91117.03125,443434.1563,396142.6875
234,534551.1875,-138396.625,-90877.375,443673.8125,396154.5625
235,534551.1875,-138384.5313,-90635.34375,443915.8438,396166.6562
236,534551.1875,-138372.2813,-90391,444160.1875,396178.9062
237,534551.1875,-138359.9531,-90144.375,444406.8125,396191.2344
238,534551.1875,-138347.6094,-89895.5625,444655.625,396203.5781
239,534551.1875,-138335.3281,-89644.5625,444906.625,396215.8594
240,534551.1875,-138323.1563,-89391.46875,445159.7188,396228.0312
241,534551.1875,-138311.1875,-89136.3125,445414.875,396240
242,534551.1875,-138299.4688,-88879.09375,445672.0938,396251.7187
243,534551.1875,-138288.0781,-88619.625,445931.5625,396263.1094
244,534551.1875,-138277.0469,-88357.5625,446193.625,396274.1406
245,534551.1875,-138266.4531,-88092.71875,446458.4688,396284.7344
246,534551.1875,-138256.3438,-87824.78125,446726.4063,396294.8437
247,534551.1875,-138246.7969,-87553.4375,446997.75,396304.3906
248,534551.1875,-138237.8281,-87278.5,447272.6875,396313.3594
249,534551.1875,-138229.5313,-86999.625,447551.5625,396321.6562
250,534551.1875,-138221.9531,-86716.59375,447834.5938,396329.2344
251,534551.1875,-138215.1406,-86429.0625,448122.125,396336.0469
252,534551.1875,-138209.1719,-86136.84375,448414.3438,396342.0156
253,534551.1875,-138204.0781,-85839.625,448711.5625,396347.1094
254,534551.1875,-138199.9375,-85537.125,449014.0625,396351.25
255,534551.1875,-138196.7813,-85229.0625,449322.125,396354.4062
256,534551.1875,-138194.7031,-84915.1875,449636,396356.4844
257,534551.1875,-138193.7344,-84595.25,449955.9375,396357.4531
258,534551.1875,-138193.9375,-84268.9375,450282.25,396357.25
259,534551.1875,-138195.375,-83936,450615.1875,396355.8125
260,534551.1875,-138198.0938,-83596.125,450955.0625,396353.0937
261,534551.1875,-138202.1563,-83249.09375,451302.0938,396349.0312
262,534551.1875,-138207.6094,-82894.625,451656.5625,396343.5781
263,534551.1875,-138214.5313,-82532.40625,452018.7813,396336.6562
264,534551.1875,-138222.9688,-82162.21875,452388.9688,396328.2187
265,534551.1875,-138232.9844,-81783.75,452767.4375,396318.2031
266,534551.1875,-138244.6094,-81396.75,453154.4375,396306.5781
267,534551.1875,-138257.9375,-81000.90625,453550.2813,396293.25
268,534551.1875,-138273,-80596.03125,453955.1563,396278.1875
269,534551.1875,-138289.875,-80181.75,454369.4375,396261.3125
270,534551.1875,-138308.5938,-79757.875,454793.3125,396242.5937
271,534551.1875,-138329.2188,-79324.09375,455227.0938,396221.9687
272,534551.1875,-138351.8281,-78880.125,455671.0625,396199.3594
273,534551.1875,-138376.4688,-78425.71875,456125.4688,396174.7187
274,534551.1875,-138403.1875,-77960.59375,456590.5938,396148
275,534551.1875,-138432.0469,-77484.46875,457066.7188,396119.1406
276,534551.1875,-138463.1094,-76997.09375,457554.0938,396088.0781
277,534551.1875,-138496.4375,-76498.15625,458053.0313,396054.75
278,534551.1875,-138532.0625,-75987.4375,458563.75,396019.125
279,534551.1875,-138570.0625,-75464.65625,459086.5313,395981.125
280,534551.1875,-138610.5,-74929.5,459621.6875,395940.6875
281,534551.1875,-138653.4063,-74381.71875,460169.4688,395897.7812
282,534551.1875,-138698.8594,-73821.03125,460730.1563,395852.3281
283,534551.1875,-138746.9063,-73247.1875,461304,395804.2812
284,534551.1875,-138797.625,-72659.90625,461891.2813,395753.5625
285,534551.1875,-138851.0469,-72058.90625,462492.2813,395700.1406
286,534551.1875,-138907.2344,-71443.9375,463107.25,395643.9531
287,534551.1875,-138966.25,-70814.6875,463736.5,395584.9375
288,534551.1875,-139028.1406,-70170.90625,464380.2813,395523.0469
289,534551.1875,-139092.9844,-69512.34375,465038.8438,395458.2031
290,534551.1875,-139160.8281,-68838.6875,465712.5,395390.3594
291,534551.1875,-139231.7188,-68149.6875,466401.5,395319.4687
292,534551.1875,-139305.7188,-67445.0625,467106.125,395245.4687
293,534551.1875,-139382.8906,-66724.5625,467826.625,395168.2969
294,534551.1875,-139463.2969,-65987.875,468563.3125,395087.8906
295,534551.1875,-139546.9688,-65234.78125,469316.4063,395004.2187
296,534551.1875,-139634,-64464.9375,470086.25,394917.1875
297,534551.1875,-139724.4063,-63678.15625,470873.0313,394826.7812
298,534551.1875,-139818.2813,-62874.09375,471677.0938,394732.9062
299,534551.1875,-139915.6563,-62052.5,472498.6875,394635.5312
300,534551.1875,-140016.6094,-61213.125,473338.0625,394534.5781
301,534551.1875,-140121.1875,-60355.6875,474195.5,394430
302,534551.1875,-140229.3906,-59480.03125,475071.1563,394321.7969
303,534551.1875,-140341,-58586.65625,475964.5313,394210.1875
304,534551.1875,-140455.7188,-57676.125,476875.0625,394095.4687
305,534551.1875,-140573.2969,-56749.0625,477802.125,393977.8906
306,534551.1875,-140693.4531,-55806.0625,478745.125,393857.7344
307,534551.1875,-140815.8906,-54847.75,479703.4375,393735.2969
308,534551.1875,-140940.3594,-53874.6875,480676.5,393610.8281
309,534551.1875,-141066.5469,-52887.5,481663.6875,393484.6406
310,534551.1875,-141194.2031,-51886.78125,482664.4063,393356.9844
311,534551.1875,-141323.0313,-50873.125,483678.0625,393228.1562
312,534551.1875,-141452.7813,-49847.15625,484704.0313,393098.4062
313,534551.1875,-141583.1406,-48809.46875,485741.7188,392968.0469
314,534551.1875,-141713.8594,-47760.65625,486790.5313,392837.3281
315,534551.1875,-141844.6406,-46701.34375,487849.8438,392706.5469
316,534551.1875,-141975.2188,-45632.09375,488919.0938,392575.9687
317,534551.1875,-142105.2969,-44553.53125,489997.6563,392445.8906
318,534551.1875,-142234.625,-43466.28125,491084.9063,392316.5625
319,534551.1875,-142362.9219,-42370.90625,492180.2813,392188.2656
320,534551.1875,-142489.875,-41268,493283.1875,392061.3125
321,534551.1875,-142615.25,-40158.21875,494392.9688,391935.9375
322,534551.1875,-142738.75,-39042.125,495509.0625,391812.4375
323,534551.1875,-142860.0938,-37920.3125,496630.875,391691.0937
324,534551.1875,-142979,-36793.4375,497757.75,391572.1875
325,534551.1875,-143095.2031,-35662.03125,498889.1563,391455.9844
326,534551.1875,-143208.4219,-34526.75,500024.4375,391342.7656
327,534551.1875,-143318.375,-33388.15625,501163.0313,391232.8125
328,534551.1875,-143424.7969,-32246.875,502304.3125,391126.3906
329,534551.1875,-143527.3906,-31103.5,503447.6875,391023.7969
330,534551.1875,-143625.875,-29958.625,504592.5625,390925.3125
331,534551.1875,-143720,-28812.90625,505738.2813,390831.1875
332,534551.1875,-143809.4688,-27666.875,506884.3125,390741.7187
333,534551.1875,-143894,-26521.15625,508030.0313,390657.1875
334,534551.1875,-143973.3281,-25376.34375,509174.8438,390577.8594
335,534551.1875,-144047.1719,-24233.0625,510318.125,390504.0156
336,534551.1875,-144115.25,-23091.9375,511459.25,390435.9375
337,534551.1875,-144177.2969,-21953.5,512597.6875,390373.8906
338,534551.1875,-144233,-20818.40625,513732.7813,390318.1875
339,534551.1875,-144282.125,-19687.21875,514863.9688,390269.0625
340,534551.1875,-144324.375,-18560.5625,515990.625,390226.8125
341,534551.1875,-144359.4531,-17439.0625,517112.125,390191.7344
342,534551.1875,-144387.1094,-16323.28125,518227.9063,390164.0781
343,534551.1875,-144407.0625,-15213.84375,519337.3438,390144.125
344,534551.1875,-144419.0313,-14111.34375,520439.8438,390132.1562
345,534551.1875,-144422.7188,-13016.375,521534.8125,390128.4687
346,534551.1875,-144417.875,-11929.5625,522621.625,390133.3125
347,534551.1875,-144404.2188,-10851.5,523699.6875,390146.9687
348,534551.1875,-144381.4531,-9782.75,524768.4375,390169.7344
349,534551.1875,-144349.3125,-8724,525827.1875,390201.875
350,534551.1875,-144307.5156,-7675.75,526875.4375,390243.6719
351,534551.1875,-144255.7969,-6638.6875,527912.5,390295.3906
352,534551.1875,-144193.8594,-5613.3125,528937.875,390357.3281
353,534551.1875,-144121.4375,-4600.375,529950.8125,390429.75
354,534551.1875,-144038.25,-3600.375,530950.8125,390512.9375
355,534551.1875,-143944.0313,-2613.875,531937.3125,390607.1562
356,534551.1875,-143838.4688,-1641.625,532909.5625,390712.7187
357,534551.1875,-143721.3281,-684.0625,533867.125,390829.8594
358,534551.1875,-143592.2969,258.0625,534809.25,390958.8906
359,534551.1875,-143451.125,1184.3125,535735.5,391100.0625
360,534551.1875,-143297.5156,2093.9375,536645.125,391253.6719
361,534551.1875,-143131.1875,2986.375,537537.5625,391420
362,534551.1875,-142951.9688,3861.25,538412.4375,391599.2187
363,534551.1875,-142759.9844,4718.6875,539269.875,391791.2031
364,534551.1875,-142555.4844,5559.1875,540110.375,391995.7031
365,534551.1875,-142338.6875,6383.125,540934.3125,392212.5
366,534551.1875,-142109.8281,7190.875,541742.0625,392441.3594
367,534551.1875,-141869.1406,7982.875,542534.0625,392682.0469
368,534551.1875,-141616.8594,8759.5,543310.6875,392934.3281
369,534551.1875,-141353.2031,9521.125,544072.3125,393197.9844
370,534551.1875,-141078.4219,10268.125,544819.3125,393472.7656
371,534551.1875,-140792.7344,11001,545552.1875,393758.4531
372,534551.1875,-140496.3906,11720.125,546271.3125,394054.7969
373,534551.1875,-140189.5938,12425.8125,546977,394361.5937
374,534551.1875,-139872.5938,13118.5625,547669.75,394678.5937
375,534551.1875,-139545.625,13798.6875,548349.875,395005.5625
376,534551.1875,-139208.9063,14466.6875,549017.875,395342.2812
377,534551.1875,-138862.6875,15122.8125,549674,395688.5
378,534551.1875,-138507.1719,15767.625,550318.8125,396044.0156
379,534551.1875,-138142.625,16401.4375,550952.625,396408.5625
380,534551.1875,-137769.25,17024.6875,551575.875,396781.9375
381,534551.1875,-137387.2969,17637.75,552188.9375,397163.8906
382,534551.1875,-136997,18241,552792.1875,397554.1875
383,534551.1875,-136598.5781,18834.875,553386.0625,397952.6094
384,534551.1875,-136192.25,19419.75,553970.9375,398358.9375
