X_Value,Base,Variation,Y_Value
534,534551.1875,73463.25,608014.4375
535,534551.1875,73452,608003.1875
536,534551.1875,73443.25,607994.4375
537,534551.1875,73437.1875,607988.375
538,534551.1875,73434.25,607985.4375
539,534551.1875,73434.6875,607985.875
540,534551.1875,73438.8125,607990
541,534551.1875,73446.9375,607998.125
542,534551.1875,73459.3125,608010.5
543,534551.1875,73476,608027.1875
544,534551.1875,73497.0625,608048.25
545,534551.1875,73522.5,608073.6875
546,534551.1875,73552.4375,608103.625
547,534551.1875,73586.9375,608138.125
548,534551.1875,73625.9375,608177.125
549,534551.1875,73669.5,608220.6875
550,534551.1875,73717.75,608268.9375
551,534551.1875,73770.625,608321.8125
552,534551.1875,73828.25,608379.4375
553,534551.1875,73890.625,608441.8125
554,534551.1875,73957.8125,608509
555,534551.1875,74029.8125,608581
556,534551.1875,74106.75,608657.9375
557,534551.1875,74188.625,608739.8125
558,534551.1875,74275.4375,608826.625
559,534551.1875,74367.3125,608918.5
560,534551.1875,74464.25,609015.4375
561,534551.1875,74566.25,609117.4375
562,534551.1875,74673.4375,609224.625
563,534551.1875,74785.8125,609337
564,534551.1875,74903.375,609454.5625
565,534551.1875,75026.25,609577.4375
566,534551.1875,75154.4375,609705.625
567,534551.1875,75288,609839.1875
568,534551.1875,75426.9375,609978.125
569,534551.1875,75571.375,610122.5625
570,534551.1875,75721.25,610272.4375
571,534551.1875,75876.6875,610427.875
572,534551.1875,76037.6875,610588.875
573,534551.1875,76204.3125,610755.5
574,534551.1875,76376.625,610927.8125
575,534551.1875,76554.5625,611105.75
576,534551.1875,76738.3125,611289.5
577,534551.1875,76927.875,611479.0625
578,534551.1875,77123.1875,611674.375
579,534551.1875,77324.4375,611875.625
580,534551.1875,77531.625,612082.8125
581,534551.1875,77744.75,612295.9375
582,534551.1875,77963.875,612515.0625
583,534551.1875,78189.0625,612740.25
584,534551.1875,78420.3125,612971.5
585,534551.1875,78657.6875,613208.875
586,534551.1875,78901.25,613452.4375
587,534551.1875,79151.0625,613702.25
588,534551.1875,79407.125,613958.3125
589,534551.1875,79669.4375,614220.625
590,534551.1875,79938.1875,614489.375
591,534551.1875,80213.25,614764.4375
592,534551.1875,80494.8125,615046
593,534551.1875,80782.8125,615334
594,534551.1875,81077.3125,615628.5
595,534551.1875,81378.4375,615929.625
596,534551.1875,81686.125,616237.3125
597,534551.1875,82000.4375,616551.625
598,534551.1875,82321.5,616872.6875
599,534551.1875,82649.25,617200.4375
600,534551.1875,82983.75,617534.9375
601,534551.1875,83325.125,617876.3125
602,534551.1875,83673.25,618224.4375
603,534551.1875,84027.875,618579.0625
604,534551.1875,84388.625,618939.8125
605,534551.1875,84755.125,619306.3125
606,534551.1875,85126.9375,619678.125
607,534551.1875,85503.75,620054.9375
608,534551.1875,85885.125,620436.3125
609,534551.1875,86270.75,620821.9375
610,534551.1875,86660.25,621211.4375
611,534551.1875,87053.1875,621604.375
612,534551.1875,87449.1875,622000.375
613,534551.1875,87847.9375,622399.125
614,534551.1875,88249,622800.1875
615,534551.1875,88652.0625,623203.25
616,534551.1875,89056.6875,623607.875
617,534551.1875,89462.5,624013.6875
618,534551.1875,89869.125,624420.3125
619,534551.1875,90276.25,624827.4375
620,534551.1875,90683.4375,625234.625
621,534551.1875,91090.3125,625641.5
622,534551.1875,91496.5,626047.6875
623,534551.1875,91901.625,626452.8125
624,534551.1875,92305.3125,626856.5
625,534551.1875,92707.25,627258.4375
626,534551.1875,93106.9375,627658.125
627,534551.1875,93504.0625,628055.25
628,534551.1875,93898.3125,628449.5
629,534551.1875,94289.1875,628840.375
630,534551.1875,94676.375,629227.5625
631,534551.1875,95059.4375,629610.625
632,534551.1875,95438.125,629989.3125
633,534551.1875,95811.9375,630363.125
634,534551.1875,96180.625,630731.8125
635,534551.1875,96543.625,631094.8125
636,534551.1875,96900.75,631451.9375
637,534551.1875,97251.5,631802.6875
638,534551.1875,97595.5625,632146.75
639,534551.1875,97932.5,632483.6875
640,534551.1875,98262,632813.1875
641,534551.1875,98583.625,633134.8125
642,534551.1875,98897.0625,633448.25
643,534551.1875,99201.875,633753.0625
644,534551.1875,99497.6875,634048.875
645,534551.1875,99784.1875,634335.375
646,534551.1875,100060.9375,634612.125
647,534551.1875,100327.625,634878.8125
648,534551.1875,100583.8125,635135
649,534551.1875,100829.125,635380.3125
650,534551.1875,101063.1875,635614.375
651,534551.1875,101285.6875,635836.875
652,534551.1875,101496.125,636047.3125
653,534551.1875,101694.25,636245.4375
654,534551.1875,101879.625,636430.8125
655,534551.1875,102051.8125,636603
656,534551.1875,102210.5625,636761.75
657,534551.1875,102355.4375,636906.625
658,534551.1875,102486.0625,637037.25
659,534551.1875,102602,637153.1875
660,534551.1875,102703,637254.1875
661,534551.1875,102788.5625,637339.75
662,534551.1875,102858.5625,637409.75
663,534551.1875,102913.3125,637464.5
664,534551.1875,102953.4375,637504.625
665,534551.1875,102979.4375,637530.625
666,534551.1875,102991.9375,637543.125
667,534551.1875,102991.4375,637542.625
668,534551.1875,102978.5625,637529.75
669,534551.1875,102953.75,637504.9375
670,534551.1875,102917.6875,637468.875
671,534551.1875,102870.8125,637422
672,534551.1875,102813.8125,637365
673,534551.1875,102747.125,637298.3125
674,534551.1875,102671.375,637222.5625
675,534551.1875,102587.0625,637138.25
676,534551.1875,102494.8125,637046
677,534551.1875,102395.125,636946.3125
678,534551.1875,102288.5625,636839.75
679,534551.1875,102175.75,636726.9375
680,534551.1875,102057.1875,636608.375
681,534551.1875,101933.375,636484.5625
682,534551.1875,101805,636356.1875
683,534551.1875,101672.5,636223.6875
684,534551.1875,101536.5,636087.6875
685,534551.1875,101397.5625,635948.75
686,534551.1875,101256.1875,635807.375
687,534551.1875,101113,635664.1875
688,534551.1875,100968.5,635519.6875
689,534551.1875,100823.25,635374.4375
690,534551.1875,100677.8125,635229
691,534551.1875,100532.75,635083.9375
692,534551.1875,100388.6875,634939.875
693,534551.1875,100246.0625,634797.25
694,534551.1875,100105.4375,634656.625
695,534551.1875,99967.5,634518.6875
696,534551.1875,99832.6875,634383.875
697,534551.1875,99701.5625,634252.75
698,534551.1875,99574.75,634125.9375
699,534551.1875,99452.75,634003.9375
700,534551.1875,99336.125,633887.3125
701,534551.1875,99225.5,633776.6875
702,534551.1875,99121.3125,633672.5
703,534551.1875,99024.1875,633575.375
704,534551.1875,98934.6875,633485.875
705,534551.1875,98853.3125,633404.5
706,534551.1875,98780.75,633331.9375
707,534551.1875,98717.375,633268.5625
708,534551.1875,98663.875,633215.0625
709,534551.1875,98620.8125,633172
710,534551.1875,98588.625,633139.8125
711,534551.1875,98568,633119.1875
712,534551.1875,98559.4375,633110.625
713,534551.1875,98563.4375,633114.625
