Y_Value,X_Value,Z_Value
145.5147647,959,867.194636
-20.95334432,960,771.426882
-178.7092421,961,680
-327.6661088,962,592.8854548
-467.9562628,963,510.0084888
-599.7668073,964,431.2827885
-723.2848455,965,356.6220407
-838.6974804,966,285.9399319
-946.1918152,967,219.1501489
-1045.954953,968,156.1663784
-1138.173997,969,96.90230694
-1223.036051,970,41.27162125
-1300.728216,971,-10.81199202
-1371.437598,972,-59.43484619
-1435.351298,973,-104.6832546
-1492.65642,974,-146.6435306
-1543.540067,975,-185.4019875
-1588.189342,976,-221.0449386
-1626.791349,977,-253.6586973
-1659.53319,978,-283.329577
-1686.601968,979,-310.1438909
-1708.184788,980,-334.1879523
-1724.468751,981,-355.5480747
-1735.640961,982,-374.3105713
-1741.888521,983,-390.5617555
-1743.398534,984,-404.3879407
-1740.358104,985,-415.8754401
-1732.954333,986,-425.110567
-1721.374325,987,-432.1796349
-1705.805183,988,-437.1689571
-1686.43401,989,-440.1648468
-1663.447909,990,-441.2536175
-1637.033983,991,-440.5215824
-1607.379335,992,-438.055055
-1574.671069,993,-433.9403484
-1539.096287,994,-428.2637761
-1500.842094,995,-421.1116514
-1460.095591,996,-412.5702877
-1417.043882,997,-402.7259982
-1371.87407,998,-391.6650963
-1324.773259,999,-379.4738954
-1275.928551,1000,-366.2387087
-1225.52705,1001,-352.0458496
-1173.755859,1002,-336.9816315
-1120.80208,1003,-321.1323676
-1066.852817,1004,-304.5843714
-1012.095174,1005,-287.4239561
-956.7162527,1006,-269.737435
-900.9031569,1007,-251.6111216
-844.8429896,1008,-233.1313291
-788.7228541,1009,-214.3843709
-732.7298534,1010,-195.4565603
-677.0510907,1011,-176.4342107
-621.8736691,1012,-157.4036353
-567.3846917,1013,-138.4511476
-513.7712617,1014,-119.6630608
-461.2204822,1015,-101.1256883
-409.9194564,1016,-82.92534341
-360.0552874,1017,-65.14833948
-311.8150784,1018,-47.88098984
-265.3859324,1019,-31.20960782
-220.9549526,1020,-15.22050677
-178.7092421,1021,0
-138.7963646,1022,14.38299575
-101.2057255,1023,27.92915019
-65.88719065,1024,40.65652963
-32.79062594,1025,52.5832004
-1.865897278,1026,63.72722881
26.93712945,1027,74.10668119
53.66858837,1028,83.73962383
78.37861357,1029,92.64412307
101.1173392,1030,100.8382452
121.9348993,1031,108.3400566
